Tabelle: 21381-0003
Studienanfängerquote: Deutschland, Jahre, Geschlecht;;;
Hochschulstatistische Kennzahlen;;;;;;
Deutschland;;;;;;
Studienanfängerquote (Prozent);;;;;;
;Geschlecht;;;;;
;männlich;;weiblich;;Insgesamt;
2000;33,2;e;33,5;e;33,3;e
2001;35,8;e;36,4;e;36,1;e
2002;36,0;e;38,7;e;37,3;e
2003;39,8;e;38,8;e;39,3;e
2004;37,5;e;37,4;e;37,4;e
2005;37,2;e;37,0;e;37,1;e
2006;35,4;e;35,9;e;35,6;e
2007;36,5;e;37,6;e;37,0;e
2008;39,8;e;40,9;e;40,3;e
2009;42,4;e;44,2;e;43,3;e
2010;45,3;e;46,8;e;46,0;e
2011;57,9;e;53,3;e;55,6;e
2012;55,1;e;56,7;e;55,9;e
2013;57,1;e;59,9;e;58,5;e
2014;56,6;e;60,2;e;58,3;e
2015;56,1;e;60,5;e;58,2;e
2016;53,5;e;60,4;e;56,7;e
2017;53,3;e;61,1;e;57,0;e
2018;53,1;e;62,0;e;57,3;e
2019;52,9;e;62,6;e;57,6;e
2020;51,4;e;62,2;e;56,6;e
2021;50,7;e;60,6;e;55,5;e
2022;51,7;e;61,5;e;56,4;e
2023;53,1;e;63,1;e;58,0;e
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 26.09.2025 / 21:15:14
